year,enso,volcanic,solar
1970,,0.07891007914399,0.0545418770926463
1971,,-0.0321334103941431,0.0258680001395213
1972,,0.0491196539365241,0.0240895333426463
1973,,0.1552288305825108,-0.0046779471261036
1974,,0.1027906612139681,-0.0187964773995411
1975,,-0.2049690165444722,-0.0184844656807911
1976,,0.0427959312797078,-0.0231334402901661
1977,,0.1284540133197346,0.0069756905692088
1978,,0.1506635484397897,0.0530910226004588
1979,0.2683333333333333,0.1473114304822424,0.0918896798270213
1980,0.24,0.109190156973947,0.0842453927176463
1981,-0.19833333333333333,0.0757372745424995,0.0867882882254588
1982,0.8699999999999998,-0.1564158400874098,0.0434498604910838
1983,1.1458333333333333,-0.6775945263802521,0.0416245919363963
1984,-0.3425,-0.2289078353791943,-0.0093581229073536
1985,-0.48499999999999993,-0.0117157005592694,-0.0265811697823536
1986,0.2525,-0.00014658150072,-0.0244594900948536
1987,1.4191666666666665,0.0621697560996303,-0.0135858816964161
1988,-0.8916666666666666,0.1102479335964212,0.0314374093192088
1989,-0.8141666666666666,0.1426154615469762,0.0932937325613963
1990,0.18583333333333332,0.1407953117155024,0.0818585030692088
1991,0.5891666666666667,-0.4148185776434353,0.0801424386160838
1992,1.0975,-1.6835767484157795,0.0593780587332713
1993,0.875,-0.8170844043492784,0.0105170235770213
1994,0.5175,-0.0813850082344821,-0.0190616873604786
1995,-0.2075,0.0853077211063841,-0.0246778982979786
1996,-0.65,0.1456922256034353,-0.0368775565011036
1997,1.2158333333333335,0.1669024887374156,-0.0204657400948536
1998,0.3066666666666665,0.1710925825750941,0.0264296212332713
1999,-1.2366666666666668,0.1732418502793201,0.0609381173270213
2000,-0.8433333333333334,0.1745824169479796,0.0860394601004588
2001,-0.36500000000000005,0.170843036204625,0.0754778634207713
2002,0.365,0.1765222575627753,0.0807664620535838
2003,0.17666666666666667,0.165150043379564,0.0193937569754588
2004,0.1575,0.1719032893302405,-0.0073924490792286
2005,0.0008333333333333156,0.1498078532163539,-0.0338510428292286
2006,0.05749999999999999,0.1245541128442177,-0.0398572684151661
2007,-0.5733333333333334,0.1214193886258194,-0.0513705008370411
2008,-1.0525,0.133277034444783,-0.0538509940011036
2009,-0.025000000000000005,0.1066842123978326,-0.0539133963448536
2010,-0.8716666666666666,0.1379875550624469,-0.0317605643136036
2011,-1.2775,0.1090569133516887,0.0026075265067088
2012,-0.295,0.1386751812529304,0.0169756661551463
2013,-0.3858333333333333,0.157671543128837,0.0252439767020213
2014,0.0050000000000000044,0.1397783633433768,0.0351347481863963
2015,1.2991666666666666,0.1258005270090391,0.0052284249442088
2016,0.4583333333333333,0.1118226906747014,-0.0315560943389039
2017,-0.47166666666666673,0.0978448543403637,-0.0414354493333894
2018,-0.25,0.083867018006026,-0.0454364226183952
2019,0.3458333333333334,0.0698891816716884,-0.0461417400680885
2020,-0.5766666666666667,0.0559113453373507,-0.0409375024299597
2021,-1.1808333333333334,0.041933509003013,-0.0044116258905654
2022,-1.55,0.0279556726686753,0.0354241924822123
2023,0.12166666666666666,0.0139778363343376,0.0580127296450827
2024,-0.15166666666666664,0.0,0.0668683859617568
2025,-0.8875000000000001,0.0,0.0448233959148743
