model,rmse,mae,bias,n_forecasts
extended,0.09997752775208715,0.08573801570120278,-0.02499169465431505,15
extended_ar2,0.10095002427925581,0.08459310257021344,-0.022708220209029496,15
extended_ar3,0.10122758100528709,0.08557303982870963,-0.024203475783893955,15
extended_ar1,0.10378082995527506,0.08809466428865753,-0.0242800702462898,15
forcing_ar2,0.11397582487333723,0.0933293249256041,-0.03988273638930918,15
forcing_ar3,0.11547376989155461,0.09486604236591335,-0.04211111864069989,15
fr_ar1,0.11932527378343132,0.09773847462215236,-0.0666318529334759,15
fr_ar2,0.12066508485035932,0.10012058365104369,-0.0694617843209219,15
forcing_ar1,0.12402547864094911,0.10123847110993833,-0.037891188391343096,15
fr_ar3,0.12473944830954153,0.10220922790992744,-0.0740859250962985,15
foster_rahmstorf,0.12563343548912728,0.10111410194366574,-0.07490668281578704,15
forcing_rcm_like,0.12627866039062038,0.10484310375877341,-0.042929519456727135,15
